TimesheetTaskID,TimesheetID,CustomerID,CustomerName,JobsiteID,Jobsite_Code,Jobsite,Address,StartDate,StartTime,EndDate,EndTime,TaskName,CostCode,Foreman,Service_Activity,Est Total Visits,Timesheet Qty,Invoice Type,Unit Cost,Unit Price,Total Price,Invoiced,InvoiceID,InvoiceItemID,Invoice_Num,Invoice Date,Invoice Qty,Invoice Rate,Invoice Price
119293075,25732520,1309848,*Maintenance Sample,5525264,5525264W,TEST004,", Bozeman, Montana",2026-01-05,11:05 PM,2026-01-06,12:09 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Compost Bags,0,10,Per Unit,$0.00,$5.25,$52.50,N,,,,,0,$0.00,$0.00
119293075,25732520,1309848,*Maintenance Sample,5525264,5525264W,TEST004,", Bozeman, Montana",2026-01-05,11:05 PM,2026-01-06,12:09 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Mulch Installed [Yards],0,3,Per Unit,$22.00,$42.00,$126.00,N,,,,,0,$0.00,$0.00
119293075,25732520,1309848,*Maintenance Sample,5525264,5525264W,TEST004,", Bozeman, Montana",2026-01-05,11:05 PM,2026-01-06,12:09 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Load Time for Bulk Mulch,0,1,Per App (Fixed Price),$0.00,$55.00,$55.00,N,,,,,0,$0.00,$0.00
119293075,25732520,1309848,*Maintenance Sample,5525264,5525264W,TEST004,", Bozeman, Montana",2026-01-05,11:05 PM,2026-01-06,12:09 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119309465,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",2026-01-06,12:30 AM,2026-01-06,1:34 AM,Drive Time,900 Unbillable/Overhead,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119309488,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",2026-01-06,1:34 AM,2026-01-06,7:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119309488,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",2026-01-06,1:34 AM,2026-01-06,7:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Caging [Linear Ft.],0,55,Per App (Fixed Price),$0.00,$1.25,$68.75,N,,,,,0,$0.00,$0.00
119309488,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",2026-01-06,1:34 AM,2026-01-06,7:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Compost Bags,0,20,Per Unit,$0.00,$5.25,$105.00,N,,,,,0,$0.00,$0.00
119309488,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",2026-01-06,1:34 AM,2026-01-06,7:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Dump/Compost,0,20,Per App (Fixed Price),$20.00,$40.00,$800.00,N,,,,,0,$0.00,$0.00
119309488,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",2026-01-06,1:34 AM,2026-01-06,7:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Fertilizer (liquid),0,5,Per App (Variable Price),$7.00,$7.00,$35.00,N,,,,,0,$0.00,$0.00
119309488,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",2026-01-06,1:34 AM,2026-01-06,7:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Mulch Installed [Yards],0,10,Per Unit,$22.00,$42.00,$420.00,N,,,,,0,$0.00,$0.00
119309488,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",2026-01-06,1:34 AM,2026-01-06,7:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Load Time for Bulk Mulch,0,2,Per App (Fixed Price),$0.00,$55.00,$110.00,N,,,,,0,$0.00,$0.00
119309488,25734793,1309848,*Maintenance Sample,5525265,5525265W,TEST005,", Bozeman, Montana",2026-01-06,1:34 AM,2026-01-06,7:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,"Perennials 4""",0,5,Per Unit,$3.70,$6.00,$30.00,N,,,,,0,$0.00,$0.00
119309517,25734793,1309848,*Maintenance Sample,5525266,5525266W,TEST006,", Bozeman, Montana",2026-01-06,8:00 AM,2026-01-06,12:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119309547,25734793,1309848,*Maintenance Sample,5525268,5525268W,TEST007,", Bozeman, Montana",2026-01-06,1:00 PM,2026-01-06,7:40 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Hedge Shearing [Hour],0,5,Per App (Fixed Price),$0.00,$55.00,$275.00,N,,,,,0,$0.00,$0.00
119309547,25734793,1309848,*Maintenance Sample,5525268,5525268W,TEST007,", Bozeman, Montana",2026-01-06,1:00 PM,2026-01-06,7:40 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Load Time for Bulk Mulch,0,1,Per App (Fixed Price),$0.00,$55.00,$55.00,N,,,,,0,$0.00,$0.00
119309547,25734793,1309848,*Maintenance Sample,5525268,5525268W,TEST007,", Bozeman, Montana",2026-01-06,1:00 PM,2026-01-06,7:40 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Mulch Installed [Yards],0,1,Per Unit,$22.00,$42.00,$42.00,N,,,,,0,$0.00,$0.00
119309547,25734793,1309848,*Maintenance Sample,5525268,5525268W,TEST007,", Bozeman, Montana",2026-01-06,1:00 PM,2026-01-06,7:40 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Plants- Other,0,56,Per App (Variable Price),$0.00,$0.00,$0.00,N,,,,,0,$0.00,$0.00
119309547,25734793,1309848,*Maintenance Sample,5525268,5525268W,TEST007,", Bozeman, Montana",2026-01-06,1:00 PM,2026-01-06,7:40 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Other,0,50,Per Unit,$0.00,$0.00,$0.00,N,,,,,0,$0.00,$0.00
119309547,25734793,1309848,*Maintenance Sample,5525268,5525268W,TEST007,", Bozeman, Montana",2026-01-06,1:00 PM,2026-01-06,7:40 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119309591,25734793,1309848,*Maintenance Sample,5525270,5525270W,TEST008,", Bozeman, Montana",2026-01-06,5:40 PM,2026-01-06,7:41 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119458742,25762534,1309848,*Maintenance Sample,5525278,5525278W,TEST013,", Bozeman, Montana",2026-01-08,1:00 AM,2026-01-08,5:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119458742,25762534,1309848,*Maintenance Sample,5525278,5525278W,TEST013,", Bozeman, Montana",2026-01-08,1:00 AM,2026-01-08,5:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Deer Spray,0,1,Per App (Fixed Price),$2.00,$5.00,$5.00,N,,,,,0,$0.00,$0.00
119458742,25762534,1309848,*Maintenance Sample,5525278,5525278W,TEST013,", Bozeman, Montana",2026-01-08,1:00 AM,2026-01-08,5:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Hedge Shearing [Hour],0,2,Per App (Fixed Price),$0.00,$55.00,$110.00,N,,,,,0,$0.00,$0.00
119458742,25762534,1309848,*Maintenance Sample,5525278,5525278W,TEST013,", Bozeman, Montana",2026-01-08,1:00 AM,2026-01-08,5:00 AM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Neem Oil/Insecticidal Soap [Bottle],0,2,Per App (Fixed Price),$0.00,$13.00,$26.00,N,,,,,0,$0.00,$0.00
119458794,25762534,1309848,*Maintenance Sample,5525279,5525279W,TEST014,", Bozeman, Montana",2026-01-08,6:00 AM,2026-01-08,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119458794,25762534,1309848,*Maintenance Sample,5525279,5525279W,TEST014,", Bozeman, Montana",2026-01-08,6:00 AM,2026-01-08,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Load Time for Bulk Mulch,0,3,Per App (Fixed Price),$0.00,$55.00,$165.00,N,,,,,0,$0.00,$0.00
119458794,25762534,1309848,*Maintenance Sample,5525279,5525279W,TEST014,", Bozeman, Montana",2026-01-08,6:00 AM,2026-01-08,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Mulch Installed [Yards],0,3,Per Unit,$22.00,$42.00,$126.00,N,,,,,0,$0.00,$0.00
119458794,25762534,1309848,*Maintenance Sample,5525279,5525279W,TEST014,", Bozeman, Montana",2026-01-08,6:00 AM,2026-01-08,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,"Perennials 4""",0,10,Per Unit,$3.70,$6.00,$60.00,N,,,,,0,$0.00,$0.00
119458794,25762534,1309848,*Maintenance Sample,5525279,5525279W,TEST014,", Bozeman, Montana",2026-01-08,6:00 AM,2026-01-08,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Perennials:One gallon,0,5,Per Unit,$7.75,$12.00,$60.00,N,,,,,0,$0.00,$0.00
119458794,25762534,1309848,*Maintenance Sample,5525279,5525279W,TEST014,", Bozeman, Montana",2026-01-08,6:00 AM,2026-01-08,5:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Plants- Other,0,3,Per App (Variable Price),$0.00,$0.00,$0.00,N,,,,,0,$0.00,$0.00
119458834,25762534,1309848,*Maintenance Sample,5525281,5525281W,TEST015,", Bozeman, Montana",2026-01-08,7:00 PM,2026-01-08,9:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,GRUB-SPRING(VT),1,1,Included,$0.00,$0.00,$0.00,N/A,,,,,0,$0.00,$0.00
119458834,25762534,1309848,*Maintenance Sample,5525281,5525281W,TEST015,", Bozeman, Montana",2026-01-08,7:00 PM,2026-01-08,9:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Fertilizer (liquid),0,3,Per App (Variable Price),$7.00,$7.00,$21.00,N,,,,,0,$0.00,$0.00
119458834,25762534,1309848,*Maintenance Sample,5525281,5525281W,TEST015,", Bozeman, Montana",2026-01-08,7:00 PM,2026-01-08,9:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Fertilizer [Bags],0,3,Per Unit,$55.00,$0.00,$0.00,N,,,,,0,$0.00,$0.00
119458834,25762534,1309848,*Maintenance Sample,5525281,5525281W,TEST015,", Bozeman, Montana",2026-01-08,7:00 PM,2026-01-08,9:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Hedge Shearing [Hour],0,3,Per App (Fixed Price),$0.00,$55.00,$165.00,N,,,,,0,$0.00,$0.00
119458834,25762534,1309848,*Maintenance Sample,5525281,5525281W,TEST015,", Bozeman, Montana",2026-01-08,7:00 PM,2026-01-08,9:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Load Time for Bulk Mulch,0,3,Per App (Fixed Price),$0.00,$55.00,$165.00,N,,,,,0,$0.00,$0.00
119458834,25762534,1309848,*Maintenance Sample,5525281,5525281W,TEST015,", Bozeman, Montana",2026-01-08,7:00 PM,2026-01-08,9:00 PM,General Maintenance,200 Grounds Maintenance,Renner Skidmore,Mulch Installed [Yards],0,3,Per Unit,$22.00,$42.00,$126.00,N,,,,,0,$0.00,$0.00
